Montana,,"24,103,389","31,422,881","32,062,838","32,900,859","33,581,162","34,435,660","164,403,400"
N. Mariana Islands,,"1,460,893","1,909,466","1,949,357","2,000,257","2,041,577","2,093,478","9,994,134"
Nebraska,,"28,087,516","36,637,118","37,365,946","38,343,437","39,136,961","40,133,672","191,617,134"
Nevada,,"67,909,775","88,280,383","89,984,461","92,348,833","94,267,315","96,678,006","461,558,997"
New Hampshire,,"19,167,369","25,058,001","25,554,809","26,223,404","26,766,169","27,447,910","131,050,293"
New Jersey,,"635,007,959","791,816,296","808,249,664","829,899,859","847,415,865","869,480,507","4,146,862,190"
New Mexico,,"55,205,812","71,158,834","72,581,263","74,504,418","76,062,738","78,023,161","372,330,414"
New York,,"1,504,697,602","1,870,051,474","1,910,232,484","1,962,220,153","2,004,180,683","2,057,144,669","9,803,829,463"
North Carolina,,"133,305,237","173,951,559","177,633,437","182,290,718","186,070,606","190,819,296","910,765,617"
North Dakota,,"16,997,127","22,169,755","22,617,418","23,208,757","23,688,804","24,291,771","115,976,505"
Ohio,,"190,344,455","245,545,352","250,765,917","257,407,172","262,789,266","269,559,357","1,286,067,064"
Oklahoma,,"52,383,097","67,628,061","69,142,608","70,951,831","72,420,439","74,265,216","354,408,156"
Oregon,,"111,578,858","142,804,324","146,167,314","150,063,632","153,218,104","157,189,420","749,442,794"
Pennsylvania,,"428,755,169","540,285,302","552,209,617","567,145,511","579,211,562","594,430,013","2,833,282,005"
Puerto Rico,,"67,209,921","86,814,543","88,689,553","91,031,932","92,931,168","95,319,169","454,786,365"
Rhode Island,,"42,531,147","52,929,188","53,984,115","55,413,296","56,571,510","58,028,416","276,926,525"
South Carolina,,"54,232,519","70,908,245","72,306,961","74,199,097","75,735,129","77,664,470","370,813,901"
South Dakota,,"19,306,358","24,969,028","25,478,126","26,144,015","26,684,581","27,363,563","130,639,314"
Tennessee,,"92,754,656","120,861,019","123,442,133","126,684,627","129,315,522","132,621,517","632,924,817"
Texas,,"482,642,478","624,438,817","637,451,185","654,278,708","667,923,218","685,078,589","3,269,170,516"
Utah,,"93,457,694","119,442,235","122,171,567","125,432,609","128,072,325","131,396,054","626,514,790"
Vermont,,"12,124,804","15,889,990","16,213,393","16,637,170","16,981,191","17,413,301","83,135,046"
Virgin Islands,,"2,811,951","3,658,240","3,729,939","3,827,568","3,906,823","4,006,371","19,128,940"
Virginia,,"179,602,739","233,913,761","238,547,230","244,806,288","249,886,338","256,268,270","1,223,421,887"
Washington,,"268,115,003","341,843,695","349,056,755","358,387,090","365,938,328","375,447,758","1,790,673,626"
West Virginia,,"28,599,775","37,389,535","38,304,361","39,308,191","40,122,843","41,146,363","196,271,294"
Wisconsin,,"87,240,937","113,577,590","115,995,817","119,036,361","121,504,203","124,604,445","594,718,417"
Wyoming,,"14,473,140","19,009,034","19,399,342","19,906,221","20,317,704","20,834,550","99,466,851"
Subtotal,,"9,667,540,287","12,269,379,713","12,531,349,996","12,866,577,380","13,137,839,786","13,479,493,468","64,284,640,343"
Oversight,,"72,798,004","91,903,306","93,874,007","96,398,254","98,438,603","101,010,816","481,624,986"
Reapportioned Funds,,-,-,-,-,-,-,-
Total,,"9,740,338,292","12,361,283,019","12,625,224,003","12,962,975,634","13,236,278,389","13,580,504,284","64,766,265,329"
Transit Oriented Development (Discretionary Pilot) --> m,"10,000,000","13,157,184","13,432,051","13,782,778","14,067,497","14,425,121","68,864,631"
Passenger Ferry Boat Program,"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","150,000,000"
Pilot Program for Enhanced Mobility,"3,500,000","4,605,014","4,701,218","4,823,972","4,923,624","5,048,792","24,102,620"
Public Transportation on Indian Reservations Competitiv,"5,000,000","8,752,896","8,935,753","9,169,076","9,358,487","9,596,398","45,812,610"
Transit Research,"20,000,000","36,840,115","37,609,743","38,591,779","39,388,993","40,390,337","192,820,967"
Technical Assistance and Workforce Development,"9,000,000","11,841,465","12,088,846","12,404,500","12,660,748","12,982,608","61,978,167"
Bus Testing Facilities,"3,000,000","5,000,000","5,104,455","5,237,739","5,345,938","5,481,842","26,169,974"
National Transit Database,"4,000,000","5,262,874","5,372,820","5,513,111","5,626,999","5,770,048","27,545,852"
Bus and Bus Facilities Competitive Grants,"344,044,179","447,257,433","456,601,111","468,523,511","478,202,088","490,358,916","2,340,943,059"
Railcar Replacement Program Competitive Grants,-,"300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","1,500,000,000"
Administrative Expenses,,"131,000,000","134,930,000","138,977,900","143,147,237","147,441,654","695,496,791"
Total,"428,544,179","993,716,981","1,008,775,997","1,027,024,366","1,042,721,611","1,061,495,716","5,133,734,671"
Grand Total,"10,168,882,471","13,355,000,000","13,634,000,000","13,990,000,000","14,279,000,000","14,642,000,000","69,900,000,000"
